Device,Trip,Time,NativeFlag,LocalTimeMS,IntersectId,LaneId,MovementPhase,SignalGroupId,MinEndTime
2004,54,109450,0,83779173,4096,6,1,4,9895
2004,54,109500,0,83779771,4096,6,1,4,9895
2004,54,109550,0,83780271,4096,6,1,4,9895
2004,55,9850,1,86339304,4096,4,1,6,35460
2004,55,9900,1,86339804,4096,4,1,6,35460
2004,55,9950,1,86340304,4096,4,1,6,35460
2004,55,10000,1,86340804,4096,4,1,6,35460
2004,55,10050,1,86341304,4096,4,1,6,35460
2004,55,10100,1,86341804,4096,4,1,6,35460
2004,55,10150,1,86342304,4096,4,1,6,35460
2004,55,10200,1,86342804,4096,4,1,6,35460
2004,55,10250,1,86343304,4096,4,1,6,35460
2004,55,10300,1,86343804,4096,4,1,6,35460
2004,55,10350,1,86344304,4096,4,1,6,35460
2004,55,10400,1,86344804,4096,4,1,6,35460
2004,55,10450,1,86345304,4096,4,1,6,35460
2004,55,10500,1,86345804,4096,4,1,6,35460
2004,55,10550,1,86346304,4096,4,1,6,35460
2004,55,10600,1,86346804,4096,4,1,6,35460
2004,55,10650,1,86347304,4096,4,2,6,35495
2004,55,10700,1,86347804,4096,4,2,6,35495
2004,55,10750,1,86348304,4096,4,2,6,35495
2004,55,10800,1,86348804,4096,4,2,6,35495
2004,55,10850,1,86349305,4096,4,2,6,35495
2004,55,10900,1,86349805,4096,4,2,6,35495
2004,55,10950,1,86350305,4096,4,2,6,35495
2004,55,11000,1,86350805,4096,4,3,6,35500
2004,55,11050,1,86351305,4096,4,3,6,35500
2004,55,11100,1,86351805,4096,4,3,6,35740
2004,55,11150,1,86352305,4096,4,3,6,35740
2004,55,11200,1,86352805,4096,4,3,6,35740
2004,55,11250,1,86353305,4096,4,3,6,35740
2004,55,11300,1,86353805,4096,4,3,6,35740
2004,55,11350,1,86354305,4096,4,3,6,35740
2004,55,11400,1,86354805,4096,4,3,6,35740
2004,55,11450,1,86355305,4096,4,3,6,35740
2004,55,11500,1,86355805,4096,4,3,6,35740
2004,55,11550,1,86356305,4096,4,3,6,35740
2004,55,11600,1,86356805,4096,4,3,6,35740
2004,55,11650,1,86357305,4096,4,3,6,35740
2004,55,11700,1,86357805,4096,4,3,6,35740
2004,55,11750,1,86358305,4096,4,3,6,35740
2004,55,11800,1,86358820,4096,4,3,6,35740
2004,55,11850,0,86359405,4096,4,3,6,35740
2004,55,11900,0,86359905,4096,4,3,6,35740
2004,55,11950,0,86360405,4096,4,3,6,35740
2004,55,12000,0,86360905,4096,4,3,6,35740
2004,55,12050,0,86361405,4096,4,3,6,35740
2004,55,12100,0,86361905,4096,4,3,6,35740
2004,55,12150,0,86362405,4096,4,3,6,35740
2004,55,12200,0,86362905,4096,4,3,6,35740
2004,55,12250,0,86363406,4096,4,3,6,35740
2004,55,12300,0,86363906,4096,4,3,6,35740
2004,55,12350,0,86364406,4096,4,3,6,35740
2004,55,12400,0,86364906,4096,4,3,6,35740
2004,55,12450,0,86365406,4096,4,3,6,35740
2004,55,12500,0,86365906,4096,4,3,6,35740
2004,55,12550,0,86366406,4096,4,3,6,35740
2004,55,12600,0,86366906,4096,4,3,6,35740
2004,55,12650,0,86367406,4096,4,3,6,35740
2004,55,12700,0,86367906,4096,4,3,6,35740
2004,55,12750,0,86368406,4096,4,3,6,35740
2004,55,12800,0,86368906,4096,4,3,6,35740
2004,55,12850,0,86369406,4096,4,3,6,35740
2004,55,12900,0,86369906,4096,4,3,6,35740
2004,55,12950,0,86370406,4096,4,3,6,35740
